"Date","year","month","day","Pandemic_Phase","Transport_Mode","Total_Ridership","Usage_Ratio"
2020-03-01,2020,3,1,"Pre-Pandemic","Subway",2212965,0.97
2020-03-01,2020,3,1,"Pre-Pandemic","Bus",984908,0.99
2020-03-01,2020,3,1,"Pre-Pandemic","LIRR",86790,1
2020-03-01,2020,3,1,"Pre-Pandemic","MetroNorth",55825,0.59
2020-03-01,2020,3,1,"Pre-Pandemic","StatenIslandRailway",1636,0.52
2020-03-01,2020,3,1,"Pre-Pandemic","AccessARide",19922,1.13
2020-03-01,2020,3,1,"Pre-Pandemic","BridgesTunnels",786960,0.98
2020-03-02,2020,3,2,"Pre-Pandemic","Subway",5329915,0.96
2020-03-02,2020,3,2,"Pre-Pandemic","Bus",2209066,0.99
2020-03-02,2020,3,2,"Pre-Pandemic","LIRR",321569,1.03
2020-03-02,2020,3,2,"Pre-Pandemic","MetroNorth",180701,0.66
2020-03-02,2020,3,2,"Pre-Pandemic","StatenIslandRailway",17140,1.07
2020-03-02,2020,3,2,"Pre-Pandemic","AccessARide",30338,1.02
2020-03-02,2020,3,2,"Pre-Pandemic","BridgesTunnels",874619,0.95
2020-03-03,2020,3,3,"Pre-Pandemic","Subway",5481103,0.98
2020-03-03,2020,3,3,"Pre-Pandemic","Bus",2228608,0.99
2020-03-03,2020,3,3,"Pre-Pandemic","LIRR",319727,1.02
2020-03-03,2020,3,3,"Pre-Pandemic","MetroNorth",190648,0.69
2020-03-03,2020,3,3,"Pre-Pandemic","StatenIslandRailway",17453,1.09
2020-03-03,2020,3,3,"Pre-Pandemic","AccessARide",32767,1.1
2020-03-03,2020,3,3,"Pre-Pandemic","BridgesTunnels",882175,0.96
2020-03-04,2020,3,4,"Pre-Pandemic","Subway",5498809,0.99
2020-03-04,2020,3,4,"Pre-Pandemic","Bus",2177165,0.97
2020-03-04,2020,3,4,"Pre-Pandemic","LIRR",311662,0.99
2020-03-04,2020,3,4,"Pre-Pandemic","MetroNorth",192689,0.7
2020-03-04,2020,3,4,"Pre-Pandemic","StatenIslandRailway",17136,1.07
2020-03-04,2020,3,4,"Pre-Pandemic","AccessARide",34297,1.15
2020-03-04,2020,3,4,"Pre-Pandemic","BridgesTunnels",905558,0.98
2020-03-05,2020,3,5,"Pre-Pandemic","Subway",5496453,0.99
2020-03-05,2020,3,5,"Pre-Pandemic","Bus",2244515,1
2020-03-05,2020,3,5,"Pre-Pandemic","LIRR",307597,0.98
2020-03-05,2020,3,5,"Pre-Pandemic","MetroNorth",194386,0.7
2020-03-05,2020,3,5,"Pre-Pandemic","StatenIslandRailway",17203,1.08
2020-03-05,2020,3,5,"Pre-Pandemic","AccessARide",33209,1.12
2020-03-05,2020,3,5,"Pre-Pandemic","BridgesTunnels",929298,1.01
2020-03-06,2020,3,6,"Pre-Pandemic","Subway",5189447,0.93
2020-03-06,2020,3,6,"Pre-Pandemic","Bus",2066743,0.92
2020-03-06,2020,3,6,"Pre-Pandemic","LIRR",289171,0.92
2020-03-06,2020,3,6,"Pre-Pandemic","MetroNorth",205056,0.74
2020-03-06,2020,3,6,"Pre-Pandemic","StatenIslandRailway",15285,0.96
2020-03-06,2020,3,6,"Pre-Pandemic","AccessARide",30970,1.04
2020-03-06,2020,3,6,"Pre-Pandemic","BridgesTunnels",945408,1.03
2020-03-07,2020,3,7,"Pre-Pandemic","Subway",2814637,0.92
2020-03-07,2020,3,7,"Pre-Pandemic","Bus",1249085,0.94
2020-03-07,2020,3,7,"Pre-Pandemic","LIRR",106058,0.98
2020-03-07,2020,3,7,"Pre-Pandemic","MetroNorth",75838,0.56
2020-03-07,2020,3,7,"Pre-Pandemic","StatenIslandRailway",2445,0.48
2020-03-07,2020,3,7,"Pre-Pandemic","AccessARide",18117,1.07
2020-03-07,2020,3,7,"Pre-Pandemic","BridgesTunnels",827907,0.95
2020-03-08,2020,3,8,"Pre-Pandemic","Subway",2120656,0.93
2020-03-08,2020,3,8,"Pre-Pandemic","Bus",957163,0.96
2020-03-08,2020,3,8,"Pre-Pandemic","LIRR",81565,0.94
2020-03-08,2020,3,8,"Pre-Pandemic","MetroNorth",60800,0.64
2020-03-08,2020,3,8,"Pre-Pandemic","StatenIslandRailway",1672,0.53
2020-03-08,2020,3,8,"Pre-Pandemic","AccessARide",19477,1.11
2020-03-08,2020,3,8,"Pre-Pandemic","BridgesTunnels",765083,0.95
2020-03-09,2020,3,9,"Pre-Pandemic","Subway",4973513,0.89
2020-03-09,2020,3,9,"Pre-Pandemic","Bus",2124770,0.95
2020-03-09,2020,3,9,"Pre-Pandemic","LIRR",277001,0.88
2020-03-09,2020,3,9,"Pre-Pandemic","MetroNorth",183953,0.67
2020-03-09,2020,3,9,"Pre-Pandemic","StatenIslandRailway",16122,1.01
2020-03-09,2020,3,9,"Pre-Pandemic","AccessARide",29609,1
2020-03-09,2020,3,9,"Pre-Pandemic","BridgesTunnels",860073,0.93
2020-03-10,2020,3,10,"Pre-Pandemic","Subway",4867818,0.87
2020-03-10,2020,3,10,"Pre-Pandemic","Bus",2111989,0.94
2020-03-10,2020,3,10,"Pre-Pandemic","LIRR",259324,0.83
2020-03-10,2020,3,10,"Pre-Pandemic","MetroNorth",179050,0.65
2020-03-10,2020,3,10,"Pre-Pandemic","StatenIslandRailway",15805,0.99
2020-03-10,2020,3,10,"Pre-Pandemic","AccessARide",31315,1.05
2020-03-10,2020,3,10,"Pre-Pandemic","BridgesTunnels",855585,0.93
2020-03-11,2020,3,11,"Pre-Pandemic","Subway",4697122,0.84
2020-03-11,2020,3,11,"Pre-Pandemic","Bus",2112967,0.94
2020-03-11,2020,3,11,"Pre-Pandemic","LIRR",245798,0.78
2020-03-11,2020,3,11,"Pre-Pandemic","MetroNorth",175074,0.63
2020-03-11,2020,3,11,"Pre-Pandemic","StatenIslandRailway",15340,0.96
2020-03-11,2020,3,11,"Pre-Pandemic","AccessARide",32198,1.08
2020-03-11,2020,3,11,"Pre-Pandemic","BridgesTunnels",866706,0.94
2020-03-12,2020,3,12,"Pre-Pandemic","Subway",4149505,0.75
2020-03-12,2020,3,12,"Pre-Pandemic","Bus",1938424,0.86
2020-03-12,2020,3,12,"Pre-Pandemic","LIRR",197178,0.63
2020-03-12,2020,3,12,"Pre-Pandemic","MetroNorth",169547,0.61
2020-03-12,2020,3,12,"Pre-Pandemic","StatenIslandRailway",14169,0.89
2020-03-12,2020,3,12,"Pre-Pandemic","AccessARide",30814,1.04
2020-03-12,2020,3,12,"Pre-Pandemic","BridgesTunnels",881188,0.96
2020-03-13,2020,3,13,"Pre-Pandemic","Subway",3484996,0.63
2020-03-13,2020,3,13,"Pre-Pandemic","Bus",1715737,0.77
2020-03-13,2020,3,13,"Pre-Pandemic","LIRR",158582,0.51
2020-03-13,2020,3,13,"Pre-Pandemic","MetroNorth",167176,0.61
2020-03-13,2020,3,13,"Pre-Pandemic","StatenIslandRailway",11769,0.74
2020-03-13,2020,3,13,"Pre-Pandemic","AccessARide",26640,0.9
2020-03-13,2020,3,13,"Pre-Pandemic","BridgesTunnels",860419,0.93
2020-03-14,2020,3,14,"Pre-Pandemic","Subway",1670665,0.54
2020-03-14,2020,3,14,"Pre-Pandemic","Bus",993287,0.75
2020-03-14,2020,3,14,"Pre-Pandemic","LIRR",44885,0.42
2020-03-14,2020,3,14,"Pre-Pandemic","MetroNorth",39701,0.29
2020-03-14,2020,3,14,"Pre-Pandemic","StatenIslandRailway",2135,0.42
2020-03-14,2020,3,14,"Pre-Pandemic","AccessARide",13394,0.79
2020-03-14,2020,3,14,"Pre-Pandemic","BridgesTunnels",631101,0.72
2020-03-15,2020,3,15,"Peak-Lockdown","Subway",1157711,0.51
2020-03-15,2020,3,15,"Peak-Lockdown","Bus",711555,0.72
2020-03-15,2020,3,15,"Peak-Lockdown","LIRR",33407,0.38
2020-03-15,2020,3,15,"Peak-Lockdown","MetroNorth",32641,0.35
2020-03-15,2020,3,15,"Peak-Lockdown","StatenIslandRailway",1368,0.43
2020-03-15,2020,3,15,"Peak-Lockdown","AccessARide",12480,0.71
2020-03-15,2020,3,15,"Peak-Lockdown","BridgesTunnels",535987,0.66
2020-03-16,2020,3,16,"Peak-Lockdown","Subway",2178555,0.39
2020-03-16,2020,3,16,"Peak-Lockdown","Bus",1237309,0.55
2020-03-16,2020,3,16,"Peak-Lockdown","LIRR",119333,0.38
2020-03-16,2020,3,16,"Peak-Lockdown","MetroNorth",153262,0.56
2020-03-16,2020,3,16,"Peak-Lockdown","StatenIslandRailway",5741,0.36
2020-03-16,2020,3,16,"Peak-Lockdown","AccessARide",21145,0.71
2020-03-16,2020,3,16,"Peak-Lockdown","BridgesTunnels",708869,0.77
2020-03-17,2020,3,17,"Peak-Lockdown","Subway",1788786,0.32
